num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
4568,Francesco Squintani,micro_theory,Europe,Warwick,18,872,22,952,302.2515508645076,1381,1062.0,1235,29,1320,7,445,16,541,18.0,1148,7,384,22,972,16.0,788,2150.878751839861,618,278.2839840462389,1278,2178.2718723699118,632
4569,Mateusz Stalinski,political_econ,Europe,Warwick,1,4388,0,4385,3.1622776601683795,4423,4.0,4413,2,4322,0,3283,2,2431,1.0,4350,0,3203,0,4408,1.0,3730,1.5811388300841898,4427,3.1622776601683795,4383,4.16227766016838,4392
4570,Andreas Stegmann,political_econ,Europe,Warwick,4,3256,4,2824,70.33491309442275,2836,119.0,3011,5,3656,1,1576,5,1568,3.0,3545,1,1424,4,2882,3.0,2752,77.27792283095322,2355,43.55584566190642,3137,87.11169132381285,2753
4571,Anant Sudarshan,development,Europe,Warwick,10,1802,11,1709,315.84806473999487,1342,748.0,1492,23,1634,4,749,4,1786,13.5,1526,3,816,12,1632,8.0,1567,735.0089779922057,948,177.23971830963015,1735,871.1985915481507,1015
4572,Damiano Turchet,micro_theory,Europe,Warwick,1,4388,0,4385,1.0,4570,1.0,4570,2,4322,0,3283,0,3965,1.0,4350,0,3203,0,4408,0.0,4504,0.5,4572,1.0,4561,2.0,4561
4573,Thijs Van Rens,multiple-field,Europe,Warwick,9,1992,9,1961,184.6456065006693,1890,462.0,1901,17,2079,0,3283,8,1097,8.5,2203,0,3203,9,2003,5.5,2026,92.32280325033464,2203,184.6456065006693,1692,185.6456065006693,2116
4574,Marija Vukotic,macro,Europe,Warwick,4,3256,2,3404,24.73863375370596,3658,48.0,3588,6,3475,0,3283,1,2917,3.0,3545,0,3203,2,3459,1.0,3730,12.36931687685298,3705,24.73863375370596,3551,25.73863375370596,3647
4575,Ao Wang,i_organization,Europe,Warwick,1,4388,0,4385,3.0,4440,3.0,4453,3,4085,0,3283,1,2917,1.5,4125,0,3203,0,4408,0.5,4086,1.5,4444,3.0,4407,4.0,4412
4576,Natalia Zinovyeva,labor,Europe,Warwick,8,2197,8,2100,247.07691110259572,1591,609.0,1673,10,2874,1,1576,1,2917,5.5,2853,1,1424,8,2146,4.5,2297,246.2950149806122,1451,199.5900299612244,1615,399.1800599224488,1493
4577,Philip Brock,multiple-field,North America,Washington,7,2425,6,2423,204.6167148597592,1779,384.0,2058,11,2737,0,3283,2,2431,5.5,2853,0,3203,6,2464,3.5,2589,102.3083574298796,2108,204.6167148597592,1581,205.6167148597592,2021
4578,Jackson Bunting,econometrics,North America,Washington,1,4388,0,4385,5.0,4330,5.0,4375,2,4322,1,1576,2,2431,1.5,4125,0,3203,1,3860,1.5,3437,5.000000000000001,4109,1.0,4561,2.0,4561
4579,Yu-Chin Chen,i_finance,North America,Washington,6,2677,5,2603,547.8257022082845,860,915.0,1343,11,2737,1,1576,3,2072,6.0,2731,1,1424,5,2654,3.0,2752,592.961106909243,1022,360.92221381848606,1009,721.8444276369721,1124
4580,Theo S. Eicher,multiple-field,North America,Washington,21,669,32,583,353.61136859552465,1231,1543.0,928,44,790,1,1576,11,832,22.5,866,1,1424,32,600,17.0,742,271.2904309168123,1405,339.5808618336246,1079,679.1617236672492,1159
4581,Yanqin Fan,econometrics,North America,Washington,27,420,44,375,656.3489925336977,733,3050.0,549,71,395,4,749,23,303,37.5,409,4,656,44,387,28.5,340,1935.924198893936,651,560.4054277233464,668,2787.027138616732,560
4582,Fabio Ghironi,macro,North America,Washington,16,1038,20,1048,496.99496979345776,932,1384.0,1009,32,1187,3,924,7,1234,17.5,1186,3,816,20,1065,12.0,1098,1732.572168069389,682,209.1431541429402,1557,828.5726165717608,1046
4583,Brian Greaney,development,North America,Washington,1,4388,1,3809,30.0,3535,30.0,3824,2,4322,1,1576,1,2917,1.5,4125,1,1424,1,3860,1.0,3730,30.0,3130,1.0,4561,2.0,4561
